Gmt time,Open,High,Low,Close,Volume
29.12.2020 22:00:00.000,1.22514,1.23103,1.22485,1.22998,165950.0626
30.12.2020 22:00:00.000,1.22999,1.23095,1.22094,1.22174,162021.71320000003
31.12.2020 22:00:00.000,1.22174,1.22174,1.22174,1.22174,0
01.01.2021 22:00:00.000,1.22174,1.22174,1.22174,1.22174,0
02.01.2021 22:00:00.000,1.22174,1.22174,1.22174,1.22174,0
03.01.2021 22:00:00.000,1.22411,1.23098,1.22318,1.22494,233869.40739999997
04.01.2021 22:00:00.000,1.22497,1.23060,1.22456,1.23001,183662.93709999995
05.01.2021 22:00:00.000,1.23018,1.23495,1.22658,1.23292,275133.49779999995
06.01.2021 22:00:00.000,1.23292,1.23447,1.22453,1.22724,200190.41309999995
07.01.2021 22:00:00.000,1.22724,1.22848,1.21932,1.22234,212441.10960000003
08.01.2021 22:00:00.000,1.22234,1.22234,1.22234,1.22234,0
09.01.2021 22:00:00.000,1.22234,1.22234,1.22234,1.22234,0
10.01.2021 22:00:00.000,1.22209,1.22357,1.21324,1.21525,174456.0418
11.01.2021 22:00:00.000,1.21527,1.22099,1.21373,1.22083,149927.6263
12.01.2021 22:00:00.000,1.22092,1.22230,1.21401,1.21582,148895.19879999998
13.01.2021 22:00:00.000,1.21583,1.21787,1.21112,1.21577,176061.34149999998
14.01.2021 22:00:00.000,1.21578,1.21628,1.20753,1.20795,156071.1271
15.01.2021 22:00:00.000,1.20795,1.20795,1.20795,1.20795,0
16.01.2021 22:00:00.000,1.20795,1.20795,1.20795,1.20795,0
17.01.2021 22:00:00.000,1.20854,1.20870,1.20536,1.20794,111584.32619999998
18.01.2021 22:00:00.000,1.20794,1.21452,1.20743,1.21291,129649.85590000001
19.01.2021 22:00:00.000,1.21290,1.21585,1.20768,1.21075,130861.92510000001
20.01.2021 22:00:00.000,1.21074,1.21733,1.21040,1.21658,139847.9419
21.01.2021 22:00:00.000,1.21636,1.21898,1.21518,1.21745,128044.56530000002
22.01.2021 22:00:00.000,1.21745,1.21745,1.21745,1.21745,0
23.01.2021 22:00:00.000,1.21745,1.21745,1.21745,1.21745,0
24.01.2021 22:00:00.000,1.21730,1.21835,1.21161,1.21408,148006.59
25.01.2021 22:00:00.000,1.21412,1.21761,1.21080,1.21604,146057.85909999997
26.01.2021 22:00:00.000,1.21605,1.21700,1.20587,1.21117,190997.61980000001
27.01.2021 22:00:00.000,1.21117,1.21427,1.20810,1.21246,187395.8578
28.01.2021 22:00:00.000,1.21247,1.21562,1.20946,1.21387,188869.0639
29.01.2021 22:00:00.000,1.21387,1.21387,1.21387,1.21387,0
30.01.2021 22:00:00.000,1.21387,1.21387,1.21387,1.21387,0
31.01.2021 22:00:00.000,1.21322,1.21368,1.20563,1.20610,164395.40279999998
01.02.2021 22:00:00.000,1.20616,1.20880,1.20118,1.20443,146776.9665
02.02.2021 22:00:00.000,1.20444,1.20504,1.20043,1.20363,127529.52400000002
03.02.2021 22:00:00.000,1.20363,1.20431,1.19576,1.19628,121401.79990000001
04.02.2021 22:00:00.000,1.19628,1.20504,1.19525,1.20501,131165.0684
05.02.2021 22:00:00.000,1.20501,1.20501,1.20501,1.20501,0
06.02.2021 22:00:00.000,1.20501,1.20501,1.20501,1.20501,0
07.02.2021 22:00:00.000,1.20393,1.20662,1.20199,1.20531,117916.80979999997
08.02.2021 22:00:00.000,1.20516,1.21220,1.20475,1.21204,127425.87700000002
09.02.2021 22:00:00.000,1.21205,1.21442,1.21090,1.21191,126524.6287
10.02.2021 22:00:00.000,1.21192,1.21496,1.21138,1.21309,88137.2712
11.02.2021 22:00:00.000,1.21312,1.21360,1.20817,1.21224,87974.51879999999
